framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,linear,17,4632,12,1.02,0.017,0.001,0.569,40.033203125,4174.6,1.725,2.384185791015625e-07,0.270306,True
deepprove,linear,18,4632,12,0.84,0.017,0.001,0.356,40.033203125,4174.6,1.331,3.5762786865234375e-07,0.036459,True
deepprove,linear,19,4632,12,0.871,0.017,0.001,0.364,40.033203125,4174.7,1.364,9.5367431640625e-07,0.059094,True
deepprove,linear,20,4632,12,1.09,0.018,0.001,0.41,40.033203125,4174.6,1.638,4.76837158203125e-07,0.114904,True
deepprove,linear,21,4632,12,0.817,0.017,0.001,0.38,40.033203125,4174.6,1.331,3.5762786865234375e-07,0.081298,True
deepprove,linear,22,4632,12,0.878,0.017,0.001,0.359,40.033203125,4174.6,1.368,3.5762786865234375e-07,0.053521,True
deepprove,linear,23,4632,12,1.007,0.017,0.001,0.7,40.033203125,4174.6,1.841,2.384185791015625e-07,0.080005,True
deepprove,linear,24,4632,12,0.846,0.017,0.001,0.394,40.033203125,4174.6,1.379,2.980232238769531e-07,0.016127,True
deepprove,linear,25,4632,12,0.853,0.016,0.001,0.391,40.033203125,4174.6,1.378,4.76837158203125e-07,0.014315,True
deepprove,linear,26,4632,12,0.857,0.016,0.001,0.358,40.033203125,4174.6,1.349,2.384185791015625e-07,0.03792,True
deepprove,linear,27,4632,12,0.991,0.017,0.001,0.435,40.033203125,4174.6,1.566,3.5762786865234375e-07,0.102923,True
deepprove,linear,28,4632,12,0.814,0.018,0.001,0.358,40.033203125,4174.6,1.311,3.5762786865234375e-07,0.045124,True
deepprove,linear,29,4632,12,0.857,0.018,0.001,0.36,40.033203125,4174.6,1.348,7.748603820800781e-07,0.293817,True
deepprove,linear,30,4632,12,0.957,0.021,0.001,0.378,40.033203125,4174.6,1.474,4.172325134277344e-07,0.084014,True
deepprove,linear,31,4632,12,0.857,0.018,0.001,0.394,40.033203125,4174.6,1.389,4.76837158203125e-07,0.045208,True
deepprove,linear,32,4632,12,0.833,0.018,0.001,0.364,40.033203125,4174.6,1.331,7.152557373046875e-07,0.054178,True
deepprove,linear,33,4632,12,0.857,0.016,0.001,0.368,40.033203125,4174.6,1.36,1.7881393432617188e-07,0.115045,True
deepprove,linear,34,4632,12,1.012,0.016,0.001,0.432,40.033203125,4174.6,1.581,4.76837158203125e-07,0.070449,True
deepprove,linear,35,4632,12,0.865,0.019,0.001,0.418,40.033203125,4174.6,1.415,5.960464477539062e-07,0.045274,True
deepprove,linear,36,4632,12,0.83,0.019,0.001,0.353,40.033203125,4174.6,1.315,6.556510925292969e-07,0.027042,True
deepprove,linear,37,4632,12,0.966,0.019,0.001,0.385,40.033203125,4174.6,1.484,2.384185791015625e-07,0.044702,True
deepprove,linear,38,4632,12,0.853,0.017,0.001,0.437,40.033203125,4174.6,1.429,2.980232238769531e-07,0.156644,True
deepprove,linear,39,4632,12,0.922,0.017,0.001,0.385,40.033203125,4174.6,1.441,3.5762786865234375e-07,0.105172,True
deepprove,linear,40,4632,12,0.82,0.017,0.001,0.361,40.033203125,4174.6,1.319,3.5762786865234375e-07,0.067977,True
deepprove,linear,41,4632,12,1.023,0.018,0.001,0.507,40.033203125,4174.6,1.664,3.5762786865234375e-07,0.044124,True
deepprove,linear,42,4632,12,0.795,0.019,0.001,0.357,40.033203125,4174.6,1.282,4.76837158203125e-07,0.195892,True
deepprove,linear,43,4632,12,1.079,0.04,0.001,0.37,40.033203125,4174.6,1.615,3.5762786865234375e-07,0.051239,True
deepprove,linear,44,4632,12,1.064,0.016,0.001,0.351,40.033203125,4174.6,1.552,2.980232238769531e-07,0.032704,True
deepprove,linear,45,4632,12,0.868,0.017,0.001,0.397,40.033203125,4174.6,1.395,3.5762786865234375e-07,0.030838,True
deepprove,linear,46,4632,12,0.863,0.017,0.001,0.358,40.033203125,4174.6,1.352,3.5762786865234375e-07,0.032858,True
deepprove,linear,47,4632,12,0.919,0.02,0.001,0.365,40.033203125,4174.6,1.42,4.76837158203125e-07,0.034882,True
deepprove,linear,48,4632,12,0.871,0.018,0.002,0.484,40.033203125,4174.6,1.497,4.172325134277344e-07,0.051145,True
deepprove,linear,49,4632,12,0.822,0.017,0.001,0.35,40.033203125,4174.6,1.307,2.384185791015625e-07,0.055309,True
deepprove,linear,50,4632,12,0.848,0.018,0.001,0.365,40.033203125,4174.6,1.34,2.5331974029541016e-07,0.220933,True
deepprove,linear,51,4632,12,1.093,0.017,0.001,0.36,40.033203125,4174.6,1.584,2.384185791015625e-07,0.06135,True
deepprove,linear,52,4632,12,0.83,0.017,0.001,0.371,40.033203125,4174.6,1.334,4.76837158203125e-07,0.116892,True
deepprove,linear,53,4632,12,0.81,0.018,0.001,0.385,40.033203125,4174.6,1.323,2.384185791015625e-07,0.032477,True
