framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,106,4632,12,0.8444,0.0296,469.0,317.5,29.823,,,0.070379,True
ezkl,linear,107,4632,12,0.8191,0.0319,483.5,319.1,29.795,,,0.181413,True
ezkl,linear,108,4632,12,0.8523,0.0255,463.5,320.3,29.774,,,0.013667,True
ezkl,linear,109,4632,12,1.0253,0.0384,475.0,320.2,29.769,,,0.017589,True
ezkl,linear,110,4632,12,0.8887,0.0264,474.8,320.5,29.8,,,0.034086,True
ezkl,linear,111,4632,12,0.805,0.0302,475.8,320.4,29.672,,,0.422608,True
ezkl,linear,112,4632,12,0.8721,0.03,467.9,320.3,29.841,,,0.071219,True
ezkl,linear,113,4632,12,0.8242,0.0314,479.3,323.9,29.751,,,0.086367,True
ezkl,linear,114,4632,12,0.9107,0.032,475.5,327.0,29.795,,,0.001248,True
ezkl,linear,115,4632,12,0.8553,0.0267,471.2,327.0,29.859,,,0.0091,True
ezkl,linear,116,4632,12,0.8184,0.0372,466.8,329.9,29.771,,,0.016648,True
ezkl,linear,117,4632,12,0.7721,0.0267,480.5,329.9,29.814,,,0.202121,True
ezkl,linear,118,4632,12,0.7846,0.0275,458.8,330.0,29.768,,,0.087108,True
ezkl,linear,119,4632,12,0.8168,0.0299,488.5,330.0,29.878,,,0.090284,True
ezkl,linear,120,4632,12,0.8213,0.0298,485.8,330.2,29.722,,,0.016435,True
ezkl,linear,121,4632,12,0.8181,0.0295,484.0,330.1,29.85,,,0.115085,True
ezkl,linear,122,4632,12,0.8825,0.0284,480.4,330.1,29.762,,,0.009679,True
ezkl,linear,123,4632,12,0.7862,0.0307,470.6,328.0,29.806,,,0.101115,True
ezkl,linear,124,4632,12,0.8638,0.0317,485.0,327.9,29.769,,,0.033056,True
ezkl,linear,125,4632,12,1.0226,0.0277,471.4,331.1,29.729,,,0.412059,True
ezkl,linear,126,4632,12,0.8642,0.0321,482.5,332.8,29.836,,,0.017744,True
ezkl,linear,127,4632,12,0.7932,0.0301,461.4,333.0,29.717,,,0.228605,True
ezkl,linear,128,4632,12,0.8436,0.0319,475.3,333.0,29.795,,,0.779575,True
ezkl,linear,129,4632,12,0.7894,0.0292,499.1,324.0,29.777,,,0.172225,True
ezkl,linear,130,4632,12,0.8598,0.0308,472.2,325.9,29.719,,,0.752958,True
ezkl,linear,131,4632,12,0.8379,0.0288,486.9,325.9,29.756,,,0.132432,True
ezkl,linear,132,4632,12,0.8878,0.0289,491.1,325.8,29.8,,,0.064522,True
ezkl,linear,133,4632,12,0.7959,0.0311,474.9,323.1,29.812,,,0.103861,True
ezkl,linear,134,4632,12,0.8658,0.0257,458.5,327.7,29.866,,,0.045053,True
ezkl,linear,135,4632,12,0.8283,0.0327,472.0,330.7,29.758,,,0.100545,True
ezkl,linear,136,4632,12,0.8072,0.0307,480.7,327.9,29.744,,,0.017096,True
ezkl,linear,137,4632,12,0.8343,0.0325,473.4,331.0,29.762,,,0.032452,True
ezkl,linear,138,4632,12,0.7931,0.0302,486.7,331.1,29.771,,,0.016516,True
ezkl,linear,139,4632,12,0.7403,0.0284,490.3,331.0,29.766,,,0.014685,True
ezkl,linear,140,4632,12,0.8486,0.0272,470.2,331.1,29.788,,,0.072025,True
ezkl,linear,141,4632,12,1.3242,0.0397,493.1,331.1,29.773,,,0.060308,True
ezkl,linear,142,4632,12,0.9289,0.03,489.8,331.1,29.793,,,0.1197,True
ezkl,linear,143,4632,12,0.8371,0.0298,461.1,331.0,29.778,,,0.049128,True
ezkl,linear,144,4632,12,0.825,0.0318,477.6,331.2,29.812,,,0.08875,True
ezkl,linear,145,4632,12,0.8651,0.0294,458.9,331.1,29.767,,,0.084952,True
ezkl,linear,146,4632,12,0.8174,0.0292,471.0,332.0,29.86,,,0.019246,True
ezkl,linear,147,4632,12,0.7919,0.0306,487.4,331.1,29.684,,,0.075866,True
ezkl,linear,148,4632,12,0.8211,0.0291,481.1,331.2,29.805,,,0.025212,True
ezkl,linear,149,4632,12,0.8347,0.028,485.2,331.0,29.711,,,0.01082,True
ezkl,linear,150,4632,12,0.8193,0.0291,489.4,331.0,29.854,,,0.018225,True
ezkl,linear,151,4632,12,0.7845,0.023,488.2,328.8,29.772,,,0.02656,True
ezkl,linear,152,4632,12,0.8601,0.0309,468.5,332.1,29.739,,,0.018991,True
ezkl,linear,153,4632,12,0.8326,0.0294,470.8,331.9,29.73,,,0.028612,True
ezkl,linear,154,4632,12,0.8186,0.0279,480.1,333.0,29.809,,,0.094217,True
ezkl,linear,155,4632,12,0.8558,0.0321,480.3,332.0,29.83,,,0.030239,True
ezkl,linear,156,4632,12,0.7566,0.0288,489.1,329.1,29.778,,,0.082778,True
ezkl,linear,157,4632,12,0.9669,0.0334,465.4,334.1,29.75,,,0.075933,True
ezkl,linear,158,4632,12,0.8677,0.0312,499.0,332.1,29.737,,,0.009011,True
ezkl,linear,159,4632,12,0.8618,0.0327,486.2,329.0,29.75,,,0.032265,True
ezkl,linear,160,4632,12,1.0778,0.0426,460.2,331.9,29.821,,,0.024594,True
ezkl,linear,161,4632,12,0.9458,0.0316,469.4,333.0,29.72,,,0.026126,True
ezkl,linear,162,4632,12,0.8561,0.0348,469.6,332.1,29.828,,,0.014894,True
ezkl,linear,163,4632,12,0.9563,0.0331,466.4,333.1,29.757,,,0.031928,True
ezkl,linear,164,4632,12,0.8494,0.0311,468.5,329.2,29.763,,,0.022697,True
ezkl,linear,165,4632,12,0.8893,0.0338,474.5,332.2,29.782,,,0.032182,True
ezkl,linear,166,4632,12,0.9022,0.0294,461.1,332.2,29.732,,,0.039037,True
ezkl,linear,167,4632,12,1.2855,0.0377,524.3,332.1,29.802,,,0.006279,True
ezkl,linear,168,4632,12,0.9664,0.0281,484.3,332.0,29.823,,,0.025075,True
ezkl,linear,169,4632,12,1.2277,0.0385,458.6,332.2,29.787,,,0.037226,True
ezkl,linear,170,4632,12,0.9483,0.0314,471.4,332.2,29.729,,,0.056633,True
ezkl,linear,171,4632,12,0.9208,0.0313,489.8,332.3,29.816,,,0.034602,True
ezkl,linear,172,4632,12,0.8534,0.0337,479.3,334.2,29.835,,,0.017777,True
ezkl,linear,173,4632,12,0.9545,0.034,463.1,332.4,29.766,,,0.03746,True
ezkl,linear,174,4632,12,0.9736,0.038,466.3,332.7,29.82,,,0.009102,True
ezkl,linear,175,4632,12,1.0295,0.038,470.1,332.6,29.82,,,0.007313,True
ezkl,linear,176,4632,12,0.9113,0.0359,478.5,332.7,29.73,,,0.009337,True
ezkl,linear,177,4632,12,0.7912,0.0314,482.8,334.7,29.801,,,0.01129,True
ezkl,linear,178,4632,12,0.8546,0.0332,484.4,335.2,29.763,,,0.01293,True
ezkl,linear,179,4632,12,1.0888,0.0315,477.6,335.3,29.797,,,0.016782,True
ezkl,linear,180,4632,12,0.8915,0.0327,476.7,338.5,29.734,,,0.013409,True
ezkl,linear,181,4632,12,1.1329,0.0381,464.3,330.5,29.781,,,0.009558,True
ezkl,linear,182,4632,12,0.9558,0.0309,477.1,330.2,29.784,,,0.000276,True
ezkl,linear,183,4632,12,0.783,0.0296,473.8,332.4,29.875,,,0.041701,True
ezkl,linear,184,4632,12,0.8151,0.031,456.4,329.4,29.768,,,0.019403,True
ezkl,linear,185,4632,12,0.8869,0.0335,475.8,332.4,29.779,,,0.012778,True
ezkl,linear,186,4632,12,0.9149,0.0327,458.0,332.4,29.817,,,0.007074,True
ezkl,linear,187,4632,12,0.9981,0.0337,473.9,329.5,29.748,,,0.019416,True
ezkl,linear,188,4632,12,1.015,0.0338,471.9,332.4,29.812,,,0.263502,True
ezkl,linear,189,4632,12,1.1562,0.0363,473.1,329.4,29.8,,,0.021377,True
ezkl,linear,190,4632,12,0.9744,0.0306,471.0,332.4,29.773,,,0.009593,True
ezkl,linear,191,4632,12,0.9057,0.031,465.9,332.5,29.783,,,0.009209,True
ezkl,linear,192,4632,12,0.8454,0.0348,480.2,332.4,29.742,,,0.06285,True
