framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,dlinear,233,9264,12,0.851,0.017,0.001,0.374,40.033203125,4174.6,1.356,3.5762786865234375e-07,0.015241,True
deepprove,dlinear,234,9264,12,0.947,0.018,0.001,0.351,40.033203125,4174.6,1.436,4.76837158203125e-07,0.044366,True
deepprove,dlinear,235,9264,12,0.81,0.017,0.001,0.411,40.033203125,4174.6,1.354,3.5762786865234375e-07,0.079355,True
deepprove,dlinear,236,9264,12,0.886,0.018,0.001,0.72,40.033203125,4174.6,1.748,3.5762786865234375e-07,0.135047,True
deepprove,dlinear,237,9264,12,0.801,0.018,0.001,0.35,40.033203125,4174.6,1.284,2.384185791015625e-07,0.022248,True
deepprove,dlinear,238,9264,12,1.008,0.018,0.001,0.467,40.033203125,4174.6,1.612,5.960464477539062e-07,0.093309,True
deepprove,dlinear,239,9264,12,0.827,0.018,0.001,0.351,40.033203125,4174.6,1.311,4.76837158203125e-07,0.018259,True
deepprove,dlinear,240,9264,12,0.834,0.018,0.001,0.37,40.033203125,4174.6,1.333,4.76837158203125e-07,0.046176,True
deepprove,dlinear,241,9264,12,1.045,0.019,0.001,0.356,40.033203125,4174.6,1.538,3.5762786865234375e-07,0.069463,True
deepprove,dlinear,242,9264,12,0.874,0.017,0.001,0.385,40.033203125,4174.6,1.39,8.344650268554688e-07,0.042154,True
deepprove,dlinear,243,9264,12,0.823,0.018,0.001,0.389,40.033203125,4174.6,1.345,2.980232238769531e-07,0.104534,True
deepprove,dlinear,244,9264,12,0.823,0.016,0.001,0.357,40.033203125,4174.6,1.308,8.344650268554688e-07,0.033308,True
deepprove,dlinear,245,9264,12,0.927,0.017,0.001,0.483,40.033203125,4174.6,1.548,8.344650268554688e-07,0.044915,True
deepprove,dlinear,246,9264,12,0.828,0.017,0.001,0.344,40.033203125,4174.6,1.304,4.76837158203125e-07,0.035081,True
deepprove,dlinear,247,9264,12,0.839,0.018,0.001,0.359,40.033203125,4174.6,1.329,3.5762786865234375e-07,0.036055,True
deepprove,dlinear,248,9264,12,0.996,0.019,0.001,0.363,40.033203125,4174.6,1.502,3.5762786865234375e-07,0.024695,True
deepprove,dlinear,249,9264,12,0.845,0.022,0.001,0.352,40.033203125,4174.6,1.349,4.76837158203125e-07,0.017144,True
deepprove,dlinear,250,9264,12,0.825,0.019,0.001,0.384,40.033203125,4174.6,1.347,4.76837158203125e-07,0.018615,True
deepprove,dlinear,251,9264,12,0.809,0.018,0.001,0.39,40.033203125,4174.6,1.33,4.76837158203125e-07,0.03012,True
deepprove,dlinear,252,9264,12,0.975,0.018,0.001,0.448,40.033203125,4174.6,1.554,3.5762786865234375e-07,0.024735,True
deepprove,dlinear,253,9264,12,0.841,0.018,0.001,0.394,40.033203125,4174.6,1.37,3.5762786865234375e-07,0.010113,True
deepprove,dlinear,254,9264,12,0.828,0.017,0.001,0.361,40.033203125,4174.6,1.323,7.152557373046875e-07,0.023902,True
deepprove,dlinear,255,9264,12,0.949,0.016,0.001,0.345,40.033203125,4174.6,1.425,4.76837158203125e-07,0.034584,True
deepprove,dlinear,256,9264,12,0.798,0.017,0.001,0.405,40.033203125,4174.6,1.334,2.384185791015625e-07,0.024678,True
deepprove,dlinear,257,9264,12,0.841,0.016,0.001,0.692,40.033203125,4174.6,1.668,4.76837158203125e-07,0.036216,True
deepprove,dlinear,258,9264,12,0.805,0.017,0.001,0.365,40.033203125,4174.6,1.3,5.960464477539062e-07,0.031652,True
deepprove,dlinear,259,9264,12,0.973,0.017,0.001,0.482,40.033203125,4174.6,1.593,3.5762786865234375e-07,0.025723,True
deepprove,dlinear,260,9264,12,0.819,0.018,0.001,0.362,40.033203125,4174.6,1.315,8.344650268554688e-07,0.116585,True
deepprove,dlinear,261,9264,12,0.839,0.017,0.001,0.371,40.033203125,4174.6,1.342,5.960464477539062e-07,0.033129,True
deepprove,dlinear,262,9264,12,1.109,0.019,0.001,0.352,40.033203125,4174.6,1.595,4.76837158203125e-07,0.028086,True
