framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,111,4632,12,0.849,0.018,0.001,0.439,40.033203125,4174.6,1.426,5.960464477539062e-07,0.470317,True
deepprove,nlinear,112,4632,12,0.882,0.017,0.001,0.399,40.033203125,4174.6,1.413,4.172325134277344e-07,0.068181,True
deepprove,nlinear,113,4632,12,0.84,0.016,0.001,0.351,40.033203125,4174.6,1.32,2.980232238769531e-07,0.099869,True
deepprove,nlinear,114,4632,12,1.123,0.018,0.001,0.394,40.033203125,4174.6,1.646,1.4901161193847656e-08,0.001168,True
deepprove,nlinear,115,4632,12,0.974,0.018,0.001,0.356,40.033203125,4174.6,1.463,8.940696716308594e-08,0.005982,True
deepprove,nlinear,116,4632,12,0.879,0.018,0.001,0.683,40.033203125,4174.6,1.696,2.980232238769531e-07,0.018473,True
deepprove,nlinear,117,4632,12,1.059,0.017,0.001,0.354,40.033203125,4174.6,1.546,1.0728836059570312e-06,0.205382,True
deepprove,nlinear,118,4632,12,0.86,0.018,0.001,0.386,40.033203125,4174.6,1.378,2.086162567138672e-07,0.069904,True
deepprove,nlinear,119,4632,12,1.035,0.02,0.001,0.437,40.033203125,4174.6,1.611,4.76837158203125e-07,0.084848,True
deepprove,nlinear,120,4632,12,1.16,0.019,0.001,0.445,40.033203125,4174.7,1.744,4.76837158203125e-07,0.012105,True
deepprove,nlinear,121,4632,12,0.929,0.016,0.001,0.488,40.033203125,4174.6,1.556,1.4901161193847656e-07,0.11401,True
deepprove,nlinear,122,4632,12,0.846,0.019,0.001,0.354,40.033203125,4174.6,1.335,2.384185791015625e-07,0.009849,True
deepprove,nlinear,123,4632,12,1.464,0.018,0.001,0.603,40.033203125,4174.6,2.201,1.1920928955078125e-06,0.121567,True
deepprove,nlinear,124,4632,12,0.862,0.017,0.001,0.401,40.033203125,4174.6,1.392,8.344650268554688e-07,0.042644,True
deepprove,nlinear,125,4632,12,0.834,0.018,0.001,0.389,40.033203125,4174.6,1.35,3.5762786865234375e-07,0.434067,True
deepprove,nlinear,126,4632,12,0.914,0.017,0.001,0.359,40.033203125,4174.6,1.403,1.1920928955078125e-06,0.02134,True
deepprove,nlinear,127,4632,12,0.996,0.017,0.001,0.52,40.033203125,4174.6,1.652,5.960464477539062e-07,0.22709,True
deepprove,nlinear,128,4632,12,0.815,0.018,0.001,0.358,40.033203125,4174.6,1.306,8.642673492431641e-07,1.049315,True
deepprove,nlinear,129,4632,12,0.876,0.019,0.001,0.375,40.033203125,4174.6,1.383,6.556510925292969e-07,0.189049,True
deepprove,nlinear,130,4632,12,1.055,0.018,0.001,0.39,40.033203125,4174.6,1.577,1.2516975402832031e-06,0.698804,True
deepprove,nlinear,131,4632,12,0.838,0.019,0.001,0.408,40.033203125,4174.6,1.383,4.76837158203125e-07,0.126546,True
deepprove,nlinear,132,4632,12,0.811,0.016,0.001,0.349,40.033203125,4174.6,1.288,6.407499313354492e-07,0.070186,True
deepprove,nlinear,133,4632,12,0.964,0.018,0.001,0.358,40.033203125,4174.6,1.458,1.6689300537109375e-06,0.116341,True
deepprove,nlinear,134,4632,12,0.83,0.023,0.001,0.466,40.033203125,4174.6,1.446,4.172325134277344e-07,0.05244,True
deepprove,nlinear,135,4632,12,1.001,0.029,0.001,0.4,40.033203125,4174.6,1.576,7.152557373046875e-07,0.084411,True
