framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,nlinear,173,4632,12,1.0726,0.0448,482.0,333.5,29.811,,,0.035485,True
ezkl,nlinear,174,4632,12,0.8193,0.0318,488.2,336.1,29.83,,,0.009293,True
ezkl,nlinear,175,4632,12,0.9049,0.0316,482.9,336.1,29.851,,,0.004884,True
ezkl,nlinear,176,4632,12,1.0002,0.034,470.9,336.1,29.777,,,0.010396,True
ezkl,nlinear,177,4632,12,0.7892,0.0317,482.7,336.1,29.787,,,0.011238,True
ezkl,nlinear,178,4632,12,0.8064,0.0291,499.7,333.1,29.816,,,0.017049,True
ezkl,nlinear,179,4632,12,0.8218,0.03,488.0,337.1,29.822,,,0.015726,True
ezkl,nlinear,180,4632,12,0.8371,0.0279,470.7,336.2,29.792,,,0.017315,True
ezkl,nlinear,181,4632,12,0.7942,0.0278,473.4,336.3,29.813,,,0.012045,True
ezkl,nlinear,182,4632,12,0.8449,0.0266,474.6,338.2,29.741,,,6e-06,True
ezkl,nlinear,183,4632,12,0.7892,0.0327,492.9,336.1,29.812,,,0.042986,True
ezkl,nlinear,184,4632,12,0.8444,0.0287,483.2,336.0,29.793,,,0.023633,True
ezkl,nlinear,185,4632,12,0.8153,0.0302,452.6,337.1,29.766,,,0.01012,True
ezkl,nlinear,186,4632,12,0.8633,0.0316,470.3,336.2,29.752,,,0.011017,True
ezkl,nlinear,187,4632,12,0.8442,0.0278,479.8,337.2,29.697,,,0.026041,True
ezkl,nlinear,188,4632,12,0.8179,0.0312,489.1,336.0,29.853,,,0.264566,True
ezkl,nlinear,189,4632,12,0.8295,0.0262,479.8,336.3,29.835,,,0.017005,True
ezkl,nlinear,190,4632,12,0.7899,0.0306,483.6,333.1,29.817,,,0.012725,True
ezkl,nlinear,191,4632,12,0.8305,0.0302,481.7,333.2,29.801,,,0.011776,True
ezkl,nlinear,192,4632,12,0.8368,0.0292,469.6,336.1,29.848,,,0.05614,True
ezkl,nlinear,193,4632,12,0.7997,0.031,481.4,336.2,29.841,,,0.010688,True
ezkl,nlinear,194,4632,12,0.7987,0.0261,482.0,338.1,29.846,,,0.013482,True
ezkl,nlinear,195,4632,12,0.8704,0.0292,453.8,336.2,29.75,,,0.144283,True
ezkl,nlinear,196,4632,12,0.7952,0.0286,460.3,336.1,29.823,,,0.153964,True
ezkl,nlinear,197,4632,12,0.8779,0.0319,469.3,336.2,29.855,,,0.036014,True
ezkl,nlinear,198,4632,12,0.8527,0.0294,475.0,336.9,29.74,,,0.028125,True
ezkl,nlinear,199,4632,12,0.8052,0.0303,479.4,338.3,29.924,,,0.021203,True
ezkl,nlinear,200,4632,12,1.1211,0.0313,514.7,339.3,29.83,,,0.140879,True
ezkl,nlinear,201,4632,12,0.8714,0.0305,469.4,338.3,29.764,,,0.182317,True
ezkl,nlinear,202,4632,12,0.8729,0.0324,461.7,338.2,29.791,,,0.014254,True
ezkl,nlinear,203,4632,12,0.8264,0.0288,476.8,338.2,29.749,,,0.037957,True
ezkl,nlinear,204,4632,12,0.8713,0.0305,478.6,336.5,29.742,,,0.017147,True
ezkl,nlinear,205,4632,12,0.8131,0.0308,485.8,339.5,29.86,,,0.034579,True
ezkl,nlinear,206,4632,12,0.8193,0.0269,474.8,339.6,29.794,,,0.010648,True
ezkl,nlinear,207,4632,12,0.8659,0.0288,470.0,339.5,29.843,,,0.018986,True
ezkl,nlinear,208,4632,12,0.8188,0.0302,467.8,336.6,29.803,,,0.013432,True
ezkl,nlinear,209,4632,12,0.8089,0.0292,483.4,339.5,29.818,,,0.047028,True
ezkl,nlinear,210,4632,12,0.8039,0.0312,485.1,339.6,29.767,,,0.011328,True
ezkl,nlinear,211,4632,12,0.9384,0.0369,508.3,339.8,29.825,,,0.026209,True
ezkl,nlinear,212,4632,12,1.0726,0.0354,456.8,339.6,29.744,,,0.059235,True
ezkl,nlinear,213,4632,12,1.3616,0.0417,420.1,341.7,29.837,,,0.022516,True
ezkl,nlinear,214,4632,12,1.0394,0.038,449.3,341.7,29.824,,,0.038213,True
ezkl,nlinear,215,4632,12,0.8871,0.0335,467.8,339.7,29.687,,,0.008551,True
ezkl,nlinear,216,4632,12,0.8053,0.0285,481.8,339.7,29.783,,,0.026114,True
ezkl,nlinear,217,4632,12,0.827,0.0302,474.0,339.6,29.804,,,0.028244,True
ezkl,nlinear,218,4632,12,0.8342,0.0349,478.3,339.6,29.812,,,0.035078,True
ezkl,nlinear,219,4632,12,0.8541,0.0276,484.7,339.3,29.873,,,0.028477,True
ezkl,nlinear,220,4632,12,0.8207,0.0305,482.5,339.6,29.791,,,0.01331,True
ezkl,nlinear,221,4632,12,0.8422,0.0283,460.7,339.5,29.847,,,0.026053,True
ezkl,nlinear,222,4632,12,0.7913,0.0313,460.0,340.7,29.774,,,0.059536,True
ezkl,nlinear,223,4632,12,0.8109,0.0286,473.6,339.7,29.767,,,0.103331,True
ezkl,nlinear,224,4632,12,0.8232,0.0288,493.2,339.6,29.797,,,0.009475,True
ezkl,nlinear,225,4632,12,0.8315,0.03,478.7,339.7,29.807,,,0.03846,True
ezkl,nlinear,226,4632,12,1.0888,0.0331,502.4,336.6,29.793,,,0.039929,True
ezkl,nlinear,227,4632,12,0.8352,0.0287,471.8,339.7,29.788,,,0.233862,True
